"Notes","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Arizona","04","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Arkansas","05","< 1 year","1",Suppressed,832800,Suppressed
,"Arkansas","05","1-4 years","1-4",Suppressed,3348151,Suppressed
,"Arkansas","05","5-14 years","5-14",0,8551356,Unreliable
,"Arkansas","05","15-24 years","15-24",17,8738090,Unreliable
,"Arkansas","05","25-34 years","25-34",20,8227200,0.2
,"Arkansas","05","35-44 years","35-44",34,8259875,0.4
,"Arkansas","05","45-54 years","45-54",47,8352862,0.6
,"Arkansas","05","55-64 years","55-64",50,7371662,0.7
,"Arkansas","05","65-74 years","65-74",31,5307330,0.6
,"Arkansas","05","75-84 years","75-84",59,3050880,1.9
